Fish,hakai_id,Stock 1,Region 1,Prob 1,Stock 2,Region 2,Prob 2,Stock 3,Region 3,Prob 3,Stock 4,Region 4,Prob 4,Stock 5,Region 5,Prob 5
Hakai_P_A12 (15) unkn 149 923,U923,Chilko,3,0.77,Mitchell,3,0.11,U_Horsefly,3,0.07,L_Adams,4,0.03,Chilko_south,2,0.02
Hakai_P_A12 (15) unkn 149 930,U930,Middle,3,0.83,Stellako,3,0.09,Porter_Cr,1,0.02,Kynock,1,0.01,Kuzkwa_Cr,3,0.01
Hakai_P_A12 (15) unkn 149 943,U943,Middle,3,0.93,Stellako,3,0.02,Kuzkwa_Cr,3,0.02,L_Adams,4,0.02,Tachie,3,0.01
Hakai_P_A12 (15) unkn 149 953,U953,Chilko,3,0.99,Weaver,4,0.01,Chilko_south,2,0.00,,,,,,
Hakai_P_A12 (15) unkn 149 954,U954,U_Horsefly,3,0.92,L_Horsefly,3,0.03,Horsefly,3,0.02,L_Adams,4,0.01,Chilko,3,0.01
Hakai_P_A12 (15) unkn 149 955,U955,Mitchell,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 149 966,U966,L_Adams,4,0.89,Chilko,3,0.07,Scotch,2,0.02,Sandpoint,1,0.01,Seymour,2,0.01
Hakai_P_A12 (15) unkn 149 967,U967,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 149 968,U968,U_Horsefly,3,0.94,L_Adams,4,0.04,L_Horsefly,3,0.02,Chilko,3,0.00,Thompson_N,2,0.00
Hakai_P_A12 (15) unkn 149 981,U981,Chilko,3,0.70,Chilko_south,2,0.18,Pitt,2,0.11,Chilko-North,3,0.01,L_Adams,4,0.01
Hakai_P_A12 (15) unkn 150 1065,U1065,Chilko,3,0.95,Chilko_south,2,0.05,Chilko-North,3,0.00,,,,,,
Hakai_P_A12 (15) unkn 150 1080,U1080,L_Adams,4,0.94,Scotch,2,0.03,Chilko,3,0.02,Middle,3,0.00,Seymour,2,0.00
Hakai_P_A12 (15) unkn 150 1089,U1089,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 150 1090,U1090,L_Adams,4,0.80,Chilko,3,0.15,U_Horsefly,3,0.02,Thompson_N,2,0.01,Little,4,0.01
Hakai_P_A12 (15) unkn 150 1091,U1091,Weaver,4,0.85,L_Adams,4,0.09,Scotch,2,0.03,Thompson_N,2,0.01,Seymour,2,0.01
Hakai_P_A12 (15) unkn 150 1096,U1096,Mitchell,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 150 1097,U1097,Mitchell,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 150 1098,U1098,L_Adams,4,0.95,Scotch,2,0.03,Little,4,0.01,Weaver,4,0.01,MiddleShuswap,4,0.00
Hakai_P_A12 (15) unkn 150 1099,U1099,Chilko,3,1.00,Mitchell,3,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 150 1100,U1100,Chilko,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 150 1101,U1101,Chilko,3,0.99,Chilko_south,2,0.01,Chilko-North,3,0.00,Middle,3,0.00,Stellako,3,0.00
Hakai_P_A12 (15) unkn 150 1121,U1121,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 150 1344,U1344,Mitchell,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 150 1345,U1345,Chilko,3,0.74,U_Horsefly,3,0.25,Horsefly,3,0.01,Chilko_south,2,0.00,Mitchell,3,0.00
Hakai_P_A12 (15) unkn 150 1346,U1346,Mitchell,3,0.95,Chilko,3,0.04,U_Horsefly,3,0.01,Scotch,2,0.00,L_Adams,4,0.00
Hakai_P_A12 (15) unkn 150 1358,U1358,Chilko,3,0.99,Chilko_south,2,0.01,Chilko-North,3,0.00,,,,,,
Hakai_P_A12 (15) unkn 150 1359,U1359,Chilko,3,1.00,Middle,3,0.00,Chilko_south,2,0.00,,,,,,
